name,symptoms
Токсоплазмоз,
Уреаплазмоз,
Урогенитальный хламидиоз,"

  Пациенты могут жаловаться на выделения из уретры (мужчины), влагалища (женщины) белого, желтого цвета или прозрачные. От нормальных выделений они могут отличаться неприятным запахом или желтоватым оттенком. Иногда возникает болезненность, жжение при мочеиспускании или половом акте, покраснения и зуд у наружного отверстия мочеиспускательного канала.




  При развитии осложнений больные жалуются на боли в области промежности, мошонки, прямой кишки, женщин беспокоят боли внизу живота, в области поясницы.




  Хламидиоз отличается от многих других инфекций, передающихся половым путем тем, что он поражает не только половые органы, но и нижние отделы мочевыделительной системы. Клиническая картина часто стертая, заболевание может длительно протекать бессимптомно и диагностироваться только при развитии осложнений.


"
Холера,"

  В некоторых случаях при холере вообще не отмечают никаких симптомов заболевания, а около 90% пациентов все же ощущают легкий или умеренно выраженный дискомфорт.




  К основным симптомам относится жидкий стул (диарея), который чаще всего возникает внезапно. К симптомам заболевания также можно отнести рвоту, боли в животе и судороги в ногах. Так как из-за диареи человек теряет много жидкости, может быть чувство жажды, усталости и головокружение.




  Примерно один из 20 больных холерой страдает тяжелой формой заболевания, которая отличается острой степенью диареи, что приводит к обезвоживанию организма и шоку. Тяжелая форма холеры без соответствующего лечения может привести к летальному исходу в течение нескольких часов.


"
Цитомегаловирусная инфекция,"

  Различают насколько вариантов течения ЦМВ-инфекции.




  1) ЦМВ-инфекция у лиц с нормальным иммунитетом.

  Чаще всего первичное инфицирование проявляется мононуклеозоподобным синдромом. Инкубационный период составляет 20-60 суток, продолжительность заболевания 2-6 недель. Как правило, отмечается лихорадка, слабость, увеличение лимфатических узлов, боли в мышцах. При достаточном иммунном ответе организм вырабатывает антитела против вируса и заболевание заканчивается самоизлечением. Выделение вирусов с биологическим жидкостями продолжается месяцы и годы после выздоровления. После первичного инфицирования цитомегаловирус может находится в организме десятки лет в неактивной форме или самопроизвольно исчезать из организма. В среднем у 90-95% взрослого населения обнаруживаются антитела класса G к ЦМВ.




  2) ЦМВ-инфекция у лиц с ослабленным иммунитетом (пациенты с лимфопролиферативными заболеваниями, гемобластозами, ВИЧ-инфицированные, пациенты после трансплантации внутренних органов или костного мозга).




  У таких пациентов может происходить генерализация инфекции, поражаются печень, почки, легкие, сетчатка глаза, поджелудочная железа и другие органы.




  3) Врожденная цитомегаловирусная инфекция.




  Внутриутробное инфицирование плода на сроке до 12 недель, как правило, заканчивается выкидышем, при заражении после 12 недель у ребенка может развиться тяжелое заболевание – врожденная цитомегалия. По статистике врожденной цитомегалией страдают примерно 5% зараженных внутриутробно новорожденных. К ее симптомам можно отнести недоношенность, увеличение печени, почек, селезенки, хориоретинит, пневмонию. У детей, перенесших внутриутробно ЦМВ-инфекцию и избежавших генерализации процесса, может выявляется задержка психомоторного развития, тугоухость, нарушения зрения, аномалии развития зубов.


"
Чума,"

  Различают достаточно много разновидностей чумы, но чаще всего встречается бубонная форма.




  Для чумы характерно резкое, внезапное начало с сильнейшего озноба и повышения температуры тела. К ним присоединяется головокружение, головная боль, слабость, мышечные боли, тошнота и рвота.




  Страдает нервная система больные напуганы, беспокойны, могут бредить, имеют тенденцию куда-то убежать.




  Нарушается координация движений, походка, речь.




  Для бубонной чумы характерно развитие лимфаденита или чумного бубона. В области его появления пациент испытывает сильную боль. Постепенно образуется бубон плотная опухоль с нечеткими краями, резко болезненная при прикосновении. Кожа над бубоном вначале обычного цвета, горячая на ощупь, затем становится темно-красной, с синюшным оттенком, лоснится.




  Так же происходит увеличение других групп лимфатических узлов формируются вторичные бубоны.




  При отсутствии лечения бубоны нагнаиваются, затем вскрываются и трансформируются в свищи. Затем постепенно происходит их заживление.


"
Энтеробиоз,"

  У некоторых детей симптомы вообще не проявляются. В остальных случаях может присутствовать следующая симптоматика:



 
  
   усталость;
  
  
   беспокойный сон;
  
  
   зуд в области анального отверстия (ребенок все время будет стараться почесаться);
  
  
   скрежет зубами;
  
  
   ночное недержание мочи;
  
  
   почёсывание носа;
  
  
   потеря аппетита.
  
 



  В целом
  
   острицы
  
  достаточно безвредны и не вызывают сильных повреждений организма. Однако зуд будет мешать ребенку спать, он не сможет достаточно высыпаться, а расчесывание области анального отверстия только усугубляет инфекцию и способствует повторному заражению. Сами по себе острицы не могут исчезнуть, и иммунитет к ним тоже не вырабатывается, соответственно, чтобы полностью избавиться от них, нужно проводить лечение.


"
Эхинококкоз,"

  Заболевание как правило длительно протекает бессимптомно. Часто эхинококковые кисты обнаруживают во время проведения профилактического обследования при рентгенологическом или ультразвуковом исследовании. При увеличении кисты в размерах появляются симптомы, связанные со сдавлением близлежащих органов и тканей. При расположении в печени появляются боли различной интенсивности в правом подреберье, чувство тяжести, давления, слабость, недомогание, быстрая утомляемость, снижение активности, иногда аллергические реакции, желтуха. Отмечается увеличение печени. При расположении эхинококковой кисты в легком возникают боли в грудной клетке, кашель, одышка. При поражении эхинококком головного мозга наблюдаются головная боль, головокружение, рвота. Возможны параличи, парезы, психические расстройства, судорожные припадки.


"
Аневризма аорты,"

  Признаки аневризмы аорты у разных людей могут сильно различаться. Они зависят от размеров аневризмы и ее расположения (поражение может захватывать часть аорты, непосредственно отходящую от сердца, отрезки, расположенные в грудной клетке и в животе). Сама по себе аневризма не сопровождается симптомами, но, увеличиваясь в размерах, она сдавливает соседние органы.




  У некоторых пациентов проявления полностью отсутствуют. Заболевание случайно обнаруживают во время профилактического осмотра.




  Наиболее распространенные симптомы аневризмы аорты:



 
  
   Если аневризма находится близко к сердцу, то она сдавливает питающие его сосуды. Возникают боли в груди, как при стенокардии.
  
  
   При сдавлении пищевода нарушается прохождение пищи. Во время еды ощущается дискомфорт, возникает кашель, пища выталкивается через нос или через рот.
  
  
   При сдавлении нервов гортани появляется постоянный «лающий» кашель, голос становится осиплым.
  
  
   Аневризма в брюшной части аорты может сдавливать нервные корешки, выходящие из позвоночника. При этом возникают боли в спине и в ногах, как при радикулите.
  
  
   При сдавлении кишки и других внутренних органов живота возникают боли, обычно вокруг пупка.
  
 

"
Аритмии,"
 
  
   ощущение сердцебиения;
  
  
   слабость, головокружение;
  
  
   боль или давление в груди;
  
  
   одышка или частое дыхание;
  
  
   обмороки и потеря сознания.
  
 



  Часто пациенты длительное время не испытывают никаких неудобств, связанных с заболеванием и поздно обращаются за медицинской помощью.


"
Артериальная гипертензия,"

  Повышение артериального давления никак не проявляется. Мелькание мушек перед глазами или боль в затылке, о которых часто пишут ─ это не симптомы артериальной гипертензии. Единственный способ её выявить – это периодически измерять своё давление.


"
Атеросклероз,"

  Эти изменения чаще локализируются в аорте, сердечных, мозговых, почечных артериях и артериях конечностей, чаще нижних. Картина болезни и жалобы больного зависят от поражения тех или иных артерий.




  Так атеросклероз коронарных артерий (сосудов сердца) очень часто проявляется в форме
  
   стенокардии,
  
  инфаркта. В основе патологического процесса, т.е. заболевания, лежит нарушение соответствия между потребностью сердца в кровоснабжении и его реальным осуществлением. Это несоответствие может возникнуть при сохраняющемся на определенном уровне кровоснабжении миокарда, но резко возросшей потребности в нем (стенокардия напряжения или покоя) или при сниженном кровоснабжении (
  
   инфаркт миокарда
  
  ).




  Нередко тяжелые формы атеросклероза аорты могут протекать бессимптомно. У больного могут возникать давящие или жгучие боли за грудиной, отдающие в обе руки, шею, спину, верхнюю часть живота. Но в отличие от стенокардии эти боли держатся длительно, то усиливаясь, то ослабевая.




  При поражении почечных сосудов наступает тяжелая артериальная гипертония. Атеросклероз артерий головного мозга проявляется снижением работоспособности (особенно умственной), снижением памяти, активного внимания, быстрой утомляемостью. Со временем появляется головокружение, бессонница, больные становятся суетливыми, навязчивыми, придирчивыми. У них снижается интеллект. Осложнением атеросклероза мозговых артерий является нарушение мозгового кровообращения кровоизлияния (
  
   инсульт
  
  ), тромбозы.




  Атеросклероз артерий конечностей, чаще нижних, проявляется в икроножных мышцах при ходьбе («
  
   перемежающаяся хромота
  
  »). Появляются зябкость и похолодание конечностей.




  Таким образом, атеросклероз приводит к развитию большинства современных «болезней цивилизации».


"
Атриовентрикулярная блокада,"

  Существует три степени атриовентрикулярной блокады. Каждая из них проявляется собственными симптомами.

  При первой степени атриовентрикулярной блокады нервные импульсы из предсердий в желудочки проводятся медленнее, чем в норме. Это никак не сказывается на состоянии человека: он чувствует себя совершенно нормально. Изменения обнаруживают случайно во время проведения электрокардиографии. Если частота сердечных сокращений падает ниже 60, то может беспокоить слабость, повышенная утомляемость, одышка, боли за грудиной.




  При второй степени атриовентрикулярной блокады некоторые импульсы из предсердий в желудочки не доходят. То есть предсердия отправляют кровь к желудочкам, а желудочки не прокачивают ее к органам и тканям. Когда такое происходит, человек неожиданно чувствует слабость, головокружение, у него темнеет в глазах. Может возникнуть одышка, боль за грудиной, потеря сознания.




  При третьей степени атриовентрикулярной блокады импульсы от предсердий к желудочкам не проходят совсем. Желудочки начинают сами генерировать импульсы и сокращаться с частотой 40 ударов в минуту. Возникают те же симптомы, что при второй степени блокады, но они выражены сильнее. Если частота сердечных сокращений падает до 20 ударов в минуту и ниже, то мозг перестает получать необходимое количество кислорода. Человек теряет сознание, его кожа становится синюшной.


"
Болезни сердца,"
 
  
   одышка при небольшой физической нагрузке или в покое,
  
  
   слабость, низкая выносливость,
  
  
   сердцебиение,
  
  
   сухой кашель,
  
  
   периоды учащённого и неровного дыхания,
  
  
   удушье, сжимающая боль в груди,
  
  
   тупая боль и дискомфорт в области печени или сердца,
  
  
   отеки ног (особенно к вечеру),
  
  
   ночью больные стараются приподнять верхнюю часть тела (подложив подушки), так им легче дышать,
  
  
   беспокойный сон, бессонница,
  
  
   чем слабее сердце, тем сильнее отекают ноги, появляется боль в груди и спине, дыхание становится крайне затруднённым, пока человек не ляжет.
  
 

"
Врожденные пороки сердца (ВПС),
Заболевания периферических артерий,"

  На ранних стадиях характерны жалобы на повышенную чувствительность к низким температурам, зябкость конечностей, чувство онемения, парестезии (ощущения покалывания) и усталость пораженной конечности.




  Основным симптомом облитерирующих заболеваний артерий нижних конечностей является перемежающаяся хромота. Она заключается в появлении во время ходьбы достаточно резких болей, ощущаемых в определенной группе мышц и заставляющих больного прекратить движение. Это связано с недостаточным притоком артериальной крови для удовлетворения потребностей мышц при нагрузке. После небольшого отдыха боль прекращается, и больной вновь может пройти определенное расстояние. В зависимости от дистанции, которую преодолевает пациент до начала болевых симптомов, выделяют 4 стадии заболевания. На 3-й стадии больной может пройти лишь несколько шагов, возникают боли в покое. На 4-й возникают трофические нарушения тканей ног в виде язв и некрозов.




  С прогрессированием заболевания, помимо перемежающейся хромоты, у пациента появляется сухость кожи, исчезновение волос и подкожного жира на ногах, утолщение ногтей.


"
Инфаркт миокарда,"

  Обычно при инфаркте миокарда выявляются следующие признаки:



 
  
   длительная интенсивная сжимающе-давящая боль за грудиной в области сердца, может отдавать в руку, шею, спину или область лопаток;
  
  
   боль не проходит после приема нитроглицерина;
  
  
   бледность кожи, холодный пот;
  
  
   обморочное состояние.
  
 



  Далеко не всегда болезнь проявляется такой классической картиной. Человек может ощущать лишь дискомфорт в груди или перебои в работе сердца. В ряде случаев боль вообще отсутствует. Кроме того, встречаются нетипичные случаи инфаркта миокарда, когда заболевание проявляется затруднением дыхания с одышкой или болью в животе. Такие случаи особенно трудны в диагностике.


"
Кардиомиопатия,
Миокардит,
Острый ревматизм,"

  Лихорадка, боли в суставах, болезненные, увеличенные в объеме суставы (чаще всего коленные, голеностопные, но могут поражаться и локтевые и лучезапястные суставы). Болезненность и отек могут исчезать в одних суставах и появляться в других. Подкожные узелки в местах костных выступов. Сыпь на туловище, руках и ногах. Быстрые непроизвольные сокращения мышц лица, рук и ног.


"
Перикардит,"

  Основной симптом заболевания — боль в области сердца. Она не усиливается во время физической нагрузки, ее невозможно снять при помощи таблеток нитроглицерина. При частом глубоком дыхании боль становится сильнее. Если в сердечной сумке скапливается жидкость, то усиление болезненных ощущений также отмечается при наклонах вперед. В положении сидя больной чувствует себя лучше.




  Постепенно боль может уменьшиться и перейти в ощущение тяжести в области сердца.




  Повышение температуры тела свидетельствует о том, что перикардит вызван инфекцией.




  У некоторых больных отмечается одышка, сухой кашель, который иногда оканчивается рвотой.


"
Приобретенные пороки сердца,"

  Симптомы заболевания зависят от пораженного клапана или комбинации пораженных клапанов. По состоянию общей гемодинамики выделяют компенсированные, субкомпенсированные и декомпенсированные пороки.




  Больного могут беспокоить учащенные сердцебиения, одышка, отеки и другие проявления сердечной недостаточности.


"
Пролапс митрального клапана,"

  В большинстве случаев пролапс митрального клапана протекает бессимптомно и его выявляют случайно при профилактическом обследовании.




  К симптомам ПМК можно отнести:



 
  
   боли в левой половине грудной клетки (боли не связаны с физической нагрузкой и не купирующиеся при приеме нитроглицерина);
  
  
   чувство нехватки воздуха (возникает желание сделать глубокий, полноценный вдох);
  
  
   чувство частого сердцебиения или наоборот редкого биения сердца;
  
  
   головокружения, обмороки и предобморочные состояния;
  
  
   незначительное «беспричинное» повышение температуры;
  
  
   утренние и ночные головные боли.
  
 



  Перечисленные симптомы не являются специфичными. Однако, при обследовании молодых людей с подобными жалобами часто выявляется ПМК.


"
